animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A259898,CAT,N,12,4,DOMESTIC SH,TAB CLASSI,BROWN,43,OWNER SUR,EVALUATION,12/20/17,ADOPTION,NEW OWNER,1/19/18
A260101,DOG,S,1,6,MIX THAT LOOKS LIKE A LABRADOR RETR,BLACK,,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,SPEC ADOPT,1/15/18
A260095,DOG,N,1,6,MIX THAT LOOKS LIKE A AUST SHEPHERD,TRICOLOR,,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,TIER 3,1/17/18
A260099,DOG,N,1,0,MIX THAT LOOKS LIKE A PARSON RUSS TER,WHITE,TAN,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,TIER 2,1/17/18
A259773,DOG,S,5,0,MIX THAT LOOKS LIKE A PIT BULL,GRAY,WHITE,54,OWNER SUR,EVALUATION,12/9/17,ADOPTION,TIER 3,1/20/18
A259972,DOG,N,1,6,LABRADOR RETR,BLACK,,36,OWNER SUR,EVALUATION,12/27/17,ADOPTION,TIER 2,1/20/18
A260004,DOG,M,0,7,BEAGLE,TRICOLOR,,35,OWNER SUR,EVALUATION,12/28/17,EUTH,BEH-AGPEPL,1/20/18
A260092,DOG,N,1,0,MIX THAT LOOKS LIKE A PARSON RUSS TER,TRICOLOR,,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,TIER 2,1/18/18
A260090,DOG,S,2,0,MIX THAT LOOKS LIKE A DOBERMAN PINSCH,GRAY,TAN,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,TIER 2,1/18/18
A260091,DOG,N,2,0,MIX THAT LOOKS LIKE A PARSON RUSS TER,WHITE,TAN,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,NEW OWNER,1/20/18
A260098,DOG,N,0,5,MIX THAT LOOKS LIKE A REDBONE HOUND,RED,WHITE,24,TRNSFR-EXT,RESCUE GRP,1/8/18,ADOPTION,NEW OWNER,1/25/18
A260097,DOG,N,4,0,MIX THAT LOOKS LIKE A ANATOL SHEPHERD,BROWN,WHITE,24,TRNSFR-EXT,RESCUE GRP,1/8/18,,,
A260094,DOG,N,3,0,MIX THAT LOOKS LIKE A POINTER,WHITE,BLACK,24,TRNSFR-EXT,RESCUE GRP,1/8/18,,,
A260110,BIRD,U,1,0,SPARROW-HOUSE,BROWN,BLACK,24,WILDLIFE,WILDLIFE,1/8/18,DIED,AT SHELTER,1/9/18
A260119,CAT,N,5,0,DOMESTIC LH,TAB MAC WH,BROWN,23,CONFISCATE,ABANDONED,1/9/18,,,
A260114,CAT,N,4,0,DOMESTIC SH,TAB MAC WH,BROWN,23,OWNER SUR,EVALUATION,1/9/18,ADOPTION,NEW OWNER,1/13/18
A254669,BIRD,U,2,0,PIGEON,WHITE,,23,OWNER SUR,EVALUATION,1/9/18,ADOPTION,NEW OWNER,1/20/18
A253749,BIRD,U,1,0,PIGEON,WHITE,,23,OWNER SUR,EVALUATION,1/9/18,ADOPTION,NEW OWNER,1/27/18
A231807,DOG,N,3,0,MIX THAT LOOKS LIKE A AUST SHEPHERD,BRINDLE,WHITE,23,STRAY,STRAY,1/9/18,RTO,MICROCHIP,1/9/18
A260111,CAT,N,0,9,DOMESTIC SH,BLACK,WHITE,23,STRAY,STRAY,1/9/18,ADOPTION,NEW OWNER,1/12/18
A260112,CAT,N,5,0,DOMESTIC SH,TAB CLASSI,BUFF,23,STRAY,STRAY,1/9/18,ADOPTION,NEW OWNER,1/13/18
A260115,CAT,S,0,6,DOMESTIC SH,TORTIE,,23,STRAY,STRAY,1/9/18,ADOPTION,NEW OWNER,1/13/18
A260120,CAT,N,5,0,DOMESTIC SH,BLACK,WHITE,23,STRAY,STRAY,1/9/18,ADOPTION,NEW OWNER,1/18/18
A260016,OTHER,S,1,6,NETHERLND DWARF,ALBINO,,33,OWNER SUR,EVALUATION,12/30/17,ADOPTION,TIER 1,1/24/18
A260017,OTHER,S,1,6,NETHERLND DWARF,PT-LILAC,,33,OWNER SUR,EVALUATION,12/30/17,ADOPTION,TIER 1,1/24/18
